Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
0,0.121762178,0.127456326,0.110358642,0.113723678,0.101902039,0.09894839,0.124844209,0.087344478,0.101186246,0.09734275,0.095292086,0.082696854,0.080735418,0.090769014,0.086833961,0.078230632,0.071952854,0.065243115,0.061898067,0.067292431,0.067163461,0.06208978,0.060035506,0.058043187,0.066475708,0.052784825,0.058763202,0.057920397,0.056743374,0.052806224,0.050851669,0.051752942,0.051460098,0.046570495,0.045591083,0.050648205
1,0.041146456,0.042748858,0.039845986,0.038783122,0.036249629,0.033436792,0.039451657,0.030542554,0.033007586,0.032856224,0.035561461,0.025308028,0.027421257,0.039963595,0.022643534,0.024487033,0.018479858,0.0226441,0.020088202,0.021316708,0.021637582,0.017540295,0.018212716,0.015211869,0.022256722,0.015291849,0.014722424,0.014284734,0.01356991,0.013497181,0.011625439,0.011240233,0.010765131,0.009700586,0.008346859,0.010152649
2,0.01667707,0.01638583,0.01655137,0.015059055,0.015044139,0.013212488,0.016177867,0.013443981,0.013665461,0.014158675,0.016838374,0.012952446,0.012562666,0.021786398,0.01175288,0.010366193,0.008469904,0.010743787,0.009127971,0.009596744,0.009802165,0.008335112,0.008207197,0.006808072,0.009975467,0.006749049,0.00686313,0.00654847,0.00609523,0.00613162,0.004743846,0.005101307,0.004732436,0.004222656,0.003206957,0.004407226
3,0.010976268,0.010739861,0.010733668,0.009870225,0.009921215,0.008719129,0.009988679,0.0084605,0.008603312,0.008983261,0.010568297,0.00858157,0.009136748,0.014796933,0.008079977,0.007047909,0.00553807,0.006308527,0.005831832,0.006095049,0.006306046,0.005510061,0.005858242,0.004201148,0.005477479,0.004629686,0.004530095,0.00433811,0.00416529,0.004289742,0.003357621,0.003383574,0.003148337,0.002891159,0.002177739,0.002991515
4,0.007977113,0.007982336,0.007892862,0.007335113,0.007418057,0.006522554,0.007231729,0.006242701,0.006350731,0.006682335,0.007779936,0.006448668,0.006772096,0.011438546,0.006462109,0.005630938,0.004082979,0.00415861,0.00425963,0.004425897,0.004637658,0.004258167,0.004437887,0.004013738,0.003973174,0.00370563,0.003664404,0.003522491,0.003491229,0.003678323,0.002910189,0.002825789,0.002637327,0.00249207,0.001861922,0.002556935
5,0.005915007,0.005931827,0.005802408,0.005450061,0.00554512,0.004877968,0.005503333,0.004842411,0.004928288,0.005225079,0.006021556,0.005081935,0.00526182,0.009136121,0.005364703,0.005052591,0.004454712,0.00459542,0.00366828,0.00378941,0.00402095,0.003704654,0.003784311,0.003546389,0.004170443,0.003333653,0.003230384,0.003117823,0.003192231,0.003438408,0.002747882,0.002735531,0.002561025,0.002489768,0.001845404,0.002533662
6,0.004389884,0.004429437,0.00428587,0.004069003,0.004164918,0.003665388,0.004241199,0.003804695,0.003873803,0.004137914,0.004721002,0.003916016,0.003995863,0.007136062,0.004257121,0.003945046,0.003400569,0.00332779,0.002760807,0.002835538,0.003046374,0.002846696,0.002849683,0.002766391,0.003056033,0.002644952,0.002497111,0.002420467,0.002562161,0.002819504,0.002274785,0.002266469,0.002128694,0.002128938,0.001565777,0.002149148
7,0.003318031,0.00339043,0.003244645,0.003113958,0.003206448,0.002822997,0.003247867,0.002971166,0.003026407,0.003256668,0.003678946,0.003020644,0.003036111,0.005580344,0.003380523,0.003083584,0.002619137,0.002429646,0.002097132,0.00214156,0.002329212,0.002245005,0.002202005,0.002213848,0.002294397,0.002150819,0.002025331,0.001972157,0.002160178,0.002427138,0.001975799,0.001956342,0.001843472,0.001896482,0.001384276,0.001899537
8,0.002631745,0.002722903,0.002591935,0.002493448,0.00257286,0.002287248,0.002547631,0.00235118,0.00238709,0.002577961,0.002879999,0.002420059,0.002433718,0.00444308,0.002671129,0.002416616,0.002029717,0.001913338,0.001661786,0.001697459,0.001810333,0.001790123,0.001776651,0.001786508,0.001869887,0.001740493,0.001772845,0.001698598,0.001840667,0.002029231,0.00169242,0.001718279,0.001636888,0.00166439,0.001264484,0.00172816
9,0.002226902,0.002343845,0.002219154,0.00213993,0.002212707,0.001986042,0.002080762,0.001937243,0.001960466,0.002124815,0.00234751,0.002042475,0.002055056,0.003727182,0.002223475,0.001994851,0.001706651,0.001635024,0.001428774,0.001459843,0.001526724,0.001516164,0.001522809,0.001531518,0.001618757,0.001496224,0.001604276,0.001513137,0.001622243,0.001753892,0.001499451,0.001537546,0.001481098,0.001488111,0.001176409,0.001601585
10,0.002044191,0.002166003,0.002039724,0.00197163,0.002042973,0.001851207,0.002088483,0.001961529,0.001978666,0.002152217,0.002351527,0.002115976,0.002130087,0.003838906,0.002272037,0.00202104,0.001768492,0.001722112,0.001513946,0.001547284,0.001586832,0.001460515,0.001484742,0.001493487,0.001593942,0.001463117,0.001427164,0.00132571,0.00140622,0.001490171,0.001306647,0.001205913,0.00117491,0.00116616,0.00095907,0.001300831
11,0.002095112,0.002160305,0.002023334,0.001960517,0.002035753,0.00186212,0.001983315,0.001879129,0.001889493,0.002062522,0.002228603,0.00207942,0.002094329,0.003750746,0.00220235,0.001942021,0.001784378,0.001766388,0.001562105,0.001596927,0.001606042,0.001438325,0.001480182,0.001489154,0.001604661,0.001462908,0.001424285,0.001303559,0.001368101,0.001420208,0.001277953,0.001156137,0.00113955,0.001117048,0.000955508,0.001291413
