Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
0,0.152210587,0.156442556,0.13956035,0.142633057,0.127956257,0.123575686,0.153477087,0.111631266,0.127997631,0.123388418,0.123888521,0.107183885,0.103329959,0.115723979,0.114024835,0.102463933,0.093478517,0.08634884,0.081531911,0.088462513,0.08661805,0.081377603,0.079329175,0.077053805,0.085940357,0.070594604,0.078177487,0.076224815,0.074529321,0.067606804,0.066037928,0.068492821,0.066853566,0.061346881,0.058287412,0.067290129
1,0.044270238,0.045779515,0.042940756,0.042042109,0.039220481,0.036171161,0.041845245,0.032819104,0.035970512,0.035326965,0.039441225,0.027282969,0.029919522,0.040884723,0.025724891,0.026744681,0.020609351,0.024525095,0.022010665,0.023602338,0.02348443,0.019154683,0.02095655,0.017092999,0.024360471,0.017340496,0.017089589,0.01596047,0.015350113,0.015135328,0.01301489,0.012938283,0.012309054,0.011203052,0.009518135,0.01183125
2,0.017274417,0.017252249,0.017228465,0.015977288,0.015839294,0.01404878,0.016539956,0.013558152,0.01435076,0.014471216,0.017810259,0.013445415,0.013516363,0.021544314,0.012278554,0.01089888,0.009189866,0.011295014,0.009677355,0.010371562,0.010370552,0.008959737,0.008909344,0.007440628,0.010055931,0.007383865,0.00761497,0.006829205,0.006543496,0.006570081,0.005041482,0.005624538,0.005239259,0.00473242,0.00359621,0.004992149
3,0.010896866,0.010741803,0.010702034,0.010010044,0.009966537,0.008860102,0.010391441,0.008674102,0.009127634,0.009321043,0.011261007,0.00888155,0.009456255,0.01377801,0.008003207,0.007148007,0.005628952,0.00672798,0.006069361,0.006444146,0.006521363,0.005850042,0.006322364,0.004590361,0.005945119,0.004979609,0.004978976,0.004521881,0.004394913,0.00449127,0.003535764,0.003720157,0.003469282,0.003180937,0.00247741,0.003381723
4,0.008045882,0.007880786,0.007833151,0.007388801,0.007388133,0.006581535,0.007550988,0.006416971,0.006713952,0.006941937,0.008236924,0.006676042,0.006982733,0.010870229,0.006376752,0.005811527,0.00415098,0.004167094,0.004424125,0.004654392,0.004766232,0.004489527,0.004726296,0.004222671,0.004340579,0.003940719,0.003969838,0.003652841,0.00360197,0.003745407,0.003020341,0.003069762,0.002865976,0.002667711,0.002127747,0.002858079
5,0.005926746,0.005723898,0.005675784,0.005399284,0.005421671,0.004839461,0.005701762,0.004932981,0.005132161,0.005371852,0.006261685,0.005231697,0.005373538,0.008566488,0.00534924,0.005143136,0.004387007,0.004502772,0.003693104,0.003850307,0.003989148,0.003933327,0.004032454,0.003731552,0.004418105,0.003555184,0.00376096,0.003508156,0.003510505,0.003713315,0.003063164,0.003155131,0.00294902,0.002787159,0.002275002,0.003009002
6,0.004352895,0.004163456,0.004118538,0.003951265,0.003984328,0.003563415,0.004372276,0.003851251,0.00398435,0.004221156,0.004834667,0.004094113,0.00412768,0.006742152,0.004262321,0.004058156,0.00344751,0.003371953,0.002887873,0.002983951,0.00312738,0.003032964,0.003027152,0.00290172,0.003276405,0.002819412,0.002813614,0.00266228,0.002704172,0.002908985,0.002451972,0.002530023,0.002367563,0.002272432,0.001897215,0.002471894
7,0.003244431,0.003086171,0.003045449,0.002946737,0.002983797,0.002673665,0.003319556,0.002977146,0.00306295,0.003283936,0.003696322,0.003200736,0.003166132,0.005301487,0.00339216,0.00319883,0.002733493,0.002545397,0.002278686,0.002333728,0.002473887,0.002453522,0.002383297,0.002366732,0.002546646,0.002342925,0.002321215,0.002229482,0.002299256,0.002514829,0.002163509,0.002203336,0.002064359,0.002012602,0.001717638,0.002205686
8,0.002529378,0.002403165,0.002370588,0.002295885,0.002325714,0.002101942,0.00256202,0.002299416,0.002370096,0.002541377,0.002867816,0.002564335,0.002534576,0.004206177,0.00269756,0.002493268,0.002153669,0.002028475,0.001834913,0.001873214,0.001969274,0.001973611,0.001940041,0.00195628,0.002088431,0.001914396,0.001999096,0.001932012,0.001991053,0.002129503,0.00186034,0.001946526,0.001830709,0.001807306,0.001539864,0.002003603
9,0.002107927,0.002020824,0.001992694,0.001931692,0.001957598,0.00178436,0.002052857,0.001843759,0.001903983,0.002041824,0.002309989,0.002139968,0.002113463,0.00347659,0.002234661,0.002023694,0.001791321,0.001706769,0.001559877,0.001587422,0.001655089,0.001653344,0.001644991,0.001684104,0.00178397,0.001629399,0.001755887,0.001707395,0.001758333,0.001838633,0.001631439,0.001736948,0.001639966,0.001639505,0.001394581,0.001838201
10,0.001916081,0.001875967,0.001849164,0.001794221,0.001819039,0.001672118,0.002074908,0.001864851,0.001929382,0.002069346,0.002347172,0.002097687,0.002070093,0.003376045,0.002174658,0.00192885,0.001814612,0.001749263,0.001615076,0.001638507,0.00169437,0.001599312,0.00161094,0.001674208,0.00176002,0.001601728,0.001530055,0.001496856,0.001540446,0.001574552,0.001419377,0.001391757,0.001319285,0.001335698,0.001134301,0.001514235
11,0.001987784,0.001888449,0.001860769,0.001807161,0.001832922,0.00169906,0.001955087,0.00175839,0.001822656,0.001955137,0.002223318,0.002028217,0.002000005,0.003233957,0.002087582,0.001812866,0.001739537,0.001696841,0.001582569,0.001600637,0.001641725,0.001507797,0.001537917,0.00162229,0.001692698,0.001534939,0.001450903,0.001427977,0.001468562,0.001467015,0.001343832,0.001307089,0.001244063,0.00127565,0.001081526,0.001461972
12,0.002145334,0.002014473,0.001984197,0.001928828,0.001957144,0.001829374,0.001967873,0.001771123,0.001839312,0.001973274,0.0022497,0.002102291,0.002071487,0.003321368,0.002148495,0.001825995,0.001762147,0.001739612,0.001638768,0.001652508,0.001681187,0.001504582,0.001554361,0.001664012,0.00172347,0.001557265,0.001467259,0.001452697,0.001492985,0.001457264,0.001356839,0.00130168,0.00124406,0.001292051,0.001093634,0.001496671
13,0.002281302,0.002227588,0.002179349,0.002117,0.002157874,0.002003428,0.002077412,0.001884181,0.001930726,0.002082236,0.002459009,0.002249316,0.002279805,0.003746585,0.002269814,0.001892303,0.00188237,0.00184192,0.001739851,0.001751723,0.001784471,0.001599793,0.001649707,0.001752221,0.001812607,0.001655873,0.001581831,0.001561506,0.001598442,0.001545896,0.001429834,0.001376522,0.001334854,0.001362168,0.001174405,0.001633273
14,0.002436544,0.002481581,0.002411567,0.00234087,0.002396947,0.00221038,0.002265486,0.002070804,0.002093349,0.002269773,0.002774919,0.002492923,0.002598977,0.004372299,0.002482691,0.002027322,0.002059226,0.001997262,0.001891715,0.00190167,0.001939781,0.001763872,0.001815616,0.001913272,0.001976757,0.001825776,0.001795956,0.001767726,0.001802424,0.001727123,0.00158666,0.001534685,0.001510243,0.001513913,0.001329779,0.001878719
